Title,Channel,Duration,Focus,Link,TRANSCRIPT
The ELDOA Method,Dan Hellman,9:58,"Introduction to ELDOA, history and benefits",https://www.youtube.com/watch?v=uOQ836z1kZo,
"The ELDOA You Can Do Every Day! (L4-L5, T12-L1, T8-T9, L5-S1)",Dan Hellman (H3TV),15:00,Quick daily ELDOA circuit covering lumbar and thoracic stretches,https://www.youtube.com/watch?v=ViHc9z-YYkk,
"The ""FEEL GOOD"" ELDOA Program",Dan Hellman,14:00,15-minute ELDOA routine for general well-being,https://www.youtube.com/watch?v=a-3DHfj06dA,
STOP SUFFERING From Back Pain TODAY!,Dan Hellman,19:54,Introductory ELDOA session for back pain relief,https://www.youtube.com/watch?v=lBvc_cjtkA8,
The Ultimate Golf Longevity Plan: ELDOA & Stretching to Stay Pain-Free,The Golf Paradigm,17:09,ELDOA-based routine for golfers,https://www.youtube.com/watch?v=0vmvsYActqc,
Dan Hellman – The ULTIMATE Guided Mobility Course!,Dan Hellman,12:00,Guided mobility class highlighting ELDOA techniques,https://www.youtube.com/watch?v=gJxNeQmDseA,
"Podcast 092 – ELDOA, Movement and Mobility (with Dan Hellman)",Principles of Program Design Podcast,21:37,Interview on ELDOA methodology and movement,https://www.youtube.com/watch?v=Jy9T9JS3BSc,
Guy Voyer explaining ELDOA for T11/12,SomaTraining UK,12:20,Demonstration of ELDOA posture for the T11-T12 thoracolumbar junction,https://www.youtube.com/watch?v=kH2uZl-hocg,
Mobilizing the Posterior Chain Using ELDOA Stretching,The Pacific Clinic of Kennewick,2:14,Explanation of ELDOA’s benefits for the posterior chain,https://www.youtube.com/watch?v=Y3L-rLIIGSk,
ELDOA Method Thoracic Spine,Mario Novo,8:37,Demonstration of an ELDOA exercise targeting the thoracic spine,https://www.youtube.com/watch?v=SMMgzeznUCQ,
ELDOA Method Lumbar Spine,Mario Novo,7:39,Demonstration of an ELDOA exercise for the lumbar spine,https://www.youtube.com/watch?v=E6jTpI6KpE8,
ELDOA Method Cervical Spine,Mario Novo,6:19,Demonstration of an ELDOA exercise for the cervical spine,https://www.youtube.com/watch?v=mJKb0xjfpQA,
Owning Your Pain – ELDOA Cervical Spine Method,Carolyn Zepf,,Follow-along ELDOA postures to reduce neck pain,https://www.youtube.com/watch?v=nmULdffJCqs,
Owning Your Pain – ELDOA Upper Thoracic Spine Method,Carolyn Zepf,,ELDOA postures for the upper thoracic spine to alleviate pain,https://www.youtube.com/watch?v=AkSokv7Ke5Y,
Owning Your Pain – ELDOA Lower Thoracic Spine Method,Carolyn Zepf,,ELDOA postures for the lower thoracic region,https://www.youtube.com/watch?v=7FhOuJwP5pU,
Owning Your Pain – ELDOA for the Lumbar Spine,Carolyn Zepf,,ELDOA postures targeting the lumbar spine,https://www.youtube.com/watch?v=LqYrE2HhRIA,
Decompress Your Neck (C4-C5) with ELDOA,Coach Tyler Pultro,1:30,Brief ELDOA stretch for C4-C5 to relieve neck tension,https://www.youtube.com/watch?v=zo8UjzUj6LQ,
Tight Neck Relief – ELDOA C5-C6,Coach Tyler Pultro,1:45,Quick ELDOA stretch for C5-C6 to alleviate neck and shoulder pain,https://www.youtube.com/watch?v=1VmFPwcHGrE,
ELDOA Flow for the Neck,Stone Bodyworks Fitness (Stacey Stone),13:57,Follow-along ELDOA flow targeting the neck,https://www.youtube.com/watch?v=60ZSc6xl4Dc,
ELDOA Flow for L4-L5 & L2-L3,Stone Bodyworks Fitness (Stacey Stone),,Combined ELDOA routine focusing on lumbar spine levels L4-L5 and L2-L3,https://www.youtube.com/watch?v=HHofsJWqfAY,
ELDOA L5-S1 (Guided Exercise),Stone Bodyworks Fitness (Stacey Stone),,Guided ELDOA posture for the L5-S1 junction to decompress the lower back,https://www.youtube.com/watch?v=P2ehFJBQskc,
ELDOA Express for Neck & Low Back,Stone Bodyworks Fitness (Stacey Stone),18:00,Quick ELDOA routine targeting both neck and lower back,https://www.youtube.com/watch?v=QwNED34bNhM,
General ELDOA (Basic Global Posture),Stone Bodyworks Fitness (Stacey Stone),,Classic general ELDOA exercise for overall spinal decompression,https://www.youtube.com/watch?v=l_sg13pc7ZE,
30-Min ELDOA Class w/ Pam (Part 1),CU Ravens (Carleton University),30:39:00,Half-hour ELDOA class for beginners,https://www.youtube.com/watch?v=k4bO9LInbd4,
30-Min ELDOA Class w/ Pam (Part 2),CU Ravens (Carleton University),31:40:00,Continuation of the 30-minute ELDOA class,https://www.youtube.com/watch?v=Zb6Ze6N3FP0,
ELDOA Exercises for the Psoas Major Muscle!!! #Shorts,Team Youphoric Health & Performance,0:47,Short demonstration targeting the psoas major muscle,https://www.youtube.com/shorts/qJrmlaNoM7A,
UFC Fighter Malcolm Gordon – First Training Session Post-Win #Shorts,Team Youphoric Health & Performance,1:00,Snippet of ELDOA-based training session with MMA fighter Malcolm Gordon after his UFC victory,https://www.youtube.com/shorts/l1Nx05BcRsY,
Malcolm Gordon does the C6-C7 ELDOA (Neck Pain Relief) #Shorts,Team Youphoric Health & Performance,0:30,ELDOA neck exercise at C6-C7 demonstrated with UFC fighter Malcolm Gordon,https://www.youtube.com/shorts/l1Nx05BcRsY,
ELDOA Exercises for the Gluteus Maximus Muscle!!! #Shorts,Team Youphoric Health & Performance,0:58,Brief ELDOA routine focusing on the gluteus maximus muscle,https://www.youtube.com/shorts/vLcxPVHs-xE,
The S1-S2 ELDOA Exercise for the Gastrocnemius Muscle!!! #Shorts,Team Youphoric Health & Performance,0:45,Quick ELDOA posture targeting the gastrocnemius muscle via the S1-S2 segment,https://www.youtube.com/shorts/mC41BfsqG_Y,
The S1-S2 ELDOA Exercise for the Soleus Muscle!!! #Shorts,Team Youphoric Health & Performance,0:44,Quick ELDOA posture targeting the soleus muscle via the S1-S2 segment,https://www.youtube.com/shorts/Kv1XoMwgw7Y,
